,apt_name,apt_rent_month,BHK,sq_ft,description
5127,Ashiana Umang,"₹ 40 Lac
₹ 3,404/sq.ft.","2 BHK
2 Baths","1,175 sq.ft.
(109 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
5128,Vrinda Gardens,"₹ 60 Lac
₹ 4,026/sq.ft.","3 BHK
3 Baths","1,490 sq.ft.
(138 sq.m.) Built-up Area",3 BHK Residential Apartment in Jagatpura
5129,Vrinda Gardens,"₹ 42 Lac
₹ 3,574/sq.ft.","2 BHK
2 Baths","1,175 sq.ft.
(109 sq.m.) Built-up Area",2 BHK Residential Apartment in Jagatpura
5130,,"₹ 20.79 Lac
₹ 3,000/sq.ft.",,"693 sq.ft.
(64 sq.m.) Plot Area",Residential land / Plot in Jagatpura
5131,Nirman Vinayak Residency,"₹ 33 Lac
₹ 2,538/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5132,Nirman pooja residency,"₹ 34.98 Lac
₹ 3,498/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5133,nirman dronpuri Residency,"₹ 31 Lac
₹ 2,480/sq.ft.","3 BHK
3 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5134,Nirman Priya Residency,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
5135,Nirman Khusi Residency,"₹ 38 Lac
₹ 2,923/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5136,Nirman Kunj Residency,"₹ 65 Lac
₹ 3,939/sq.ft.","3 BHK
3 Baths","1,650 sq.ft.
(153 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
5137,Nirman vinayak Residency,"₹ 42 Lac
₹ 3,111/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5138,Flora,"₹ 26 Lac
₹ 2,166/sq.ft.","2 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5139,,"₹ 2.6 Cr
₹ 14,444/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Adinath Nagar
5140,Res.aprt,"₹ 1.11 Cr
₹ 5,550/sq.ft.","3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Carpet Area",3 BHK Residential Apartment in Mansarovar
5141,,"₹ 78 Lac
₹ 71,559/sq.ft.","3 BHK
3 Baths","109 sq.ft.
(10 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar Extension
5142,Ganesham Gokul Vatika,"₹ 27.5 Lac
₹ 3,254/sq.ft.","2 BHK
2 Baths","845 sq.ft.
(79 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
5143,FS The Crown,"₹ 1.11 Cr
₹ 7,500/sq.ft.","3 BHK
3 Baths","1,420 sq.ft.
(132 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tonk Road
5144,Residential Township,"₹ 17.37 Lac
₹ 1,800/sq.ft.","2 BHK
2 Baths","965 sq.ft.
(90 sq.m.) Carpet Area",2 BHK Residential Apartment in Alwar
5145,Auric City Homes,"₹ 8.5 Lac
₹ 2,468/sq.ft.","1 BHK
1 Bath","344 sq.ft.
(32 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jaisinghpura
5146,,"₹ 3.75 Cr
₹ 13,889/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Malviya Nagar
5147,Residential Township,"₹ 17.37 Lac
₹ 1,800/sq.ft.","2 BHK
2 Baths","965 sq.ft.
(90 sq.m.) Carpet Area",2 BHK Residential Apartment in Alwar
5148,Auric City Homes,"₹ 8.5 Lac
₹ 2,468/sq.ft.","1 BHK
1 Bath","344 sq.ft.
(32 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jaisinghpura
5149,,"₹ 3.75 Cr
₹ 13,889/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Malviya Nagar
5150,Dakshinpuri,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
4 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
5151,,"₹ 1.1 Cr
₹ 10,446/sq.ft.","3 BHK
4 Baths","1,053 sq.ft.
(98 sq.m.) Plot Area",3 Bedroom Independent House in Siddharth Nagar
5152,Vidyut nagar,"₹ 28 Lac
₹ 3,500/sq.ft.","2 BHK
1 Bath","800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vidhyut Nagar
5153,Omaxe City,"₹ 32 Lac
₹ 2,008/sq.ft.",,"1,593 sq.ft.
(148 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5154,Yojna mangalam City,"₹ 21.12 Lac
₹ 2,347/sq.ft.",,"899 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Kalwar Road
5155,Mangalam City,"₹ 11.5 Lac
₹ 1,437/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Carpet Area",2 BHK Residential Apartment in Kalwar Road
5156,Residential Flat,"₹ 11.26 Lac
₹ 1,324/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Carpet Area",2 BHK Residential Apartment in Jodhpur
5157,Rajeshwar,"₹ 8.03 Lac
₹ 1,756/sq.ft.",,"457 sq.ft.
(42 sq.m.) Plot Area",Residential land / Plot in Jodhpur
5158,nirman royal villas,"₹ 75 Lac
₹ 64,990/sq.ft.","3 BHK
3 Baths","100 sq.ft.
(9 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar
5159,nirman krishana residency,"₹ 32.98 Lac
₹ 2,356/sq.ft.","3 BHK
3 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
5160,nirman shiv residency,"₹ 27 Lac
₹ 2,700/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
5161,nirman krishana residency,"₹ 60 Lac
₹ 3,751/sq.ft.","4 BHK
4 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5162,sagar,"₹ 56 Lac
₹ 3,500/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in gyatri nagar
5163,Manglams Grand City,"₹ 3.2 Cr
₹ 2,222/sq.ft.",,"14,400 sq.ft.
(1338 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5164,FS Pinnacle,"₹ 1.61 Cr
₹ 7,800/sq.ft.","3 BHK
3 Baths","2,067 sq.ft.
(192 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jyothi Nagar
5165,Okay Plus Venus,"₹ 45.5 Lac
₹ 3,205/sq.ft.","3 BHK
3 Baths","1,420 sq.ft.
(132 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5166,Shree Ram South Court,"₹ 52.45 Lac
₹ 3,100/sq.ft.","3 BHK
3 Baths","1,692 sq.ft.
(157 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5167,Arihant Prime Eminent Towers,"₹ 59.53 Lac
₹ 2,950/sq.ft.","3 BHK
3 Baths","2,018 sq.ft.
(187 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jaisinghpura
5168,Mahimas Bellevista,"₹ 29.51 Lac
₹ 3,290/sq.ft.","2 BHK
2 Baths","897 sq.ft.
(83 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5169,Mahimas Panorama,"₹ 51 Lac
₹ 3,090/sq.ft.","3 BHK
3 Baths","1,650 sq.ft.
(153 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5170,FS The Crown,"₹ 2.06 Cr
₹ 7,500/sq.ft.","4 BHK
4 Baths","2,741 sq.ft.
(255 sq.m.) Super built-up Area",4 BHK Residential Apartment in J.L.N.Marg
5171,Anukampa Tulip,"₹ 50.03 Lac
₹ 3,450/sq.ft.","3 BHK
2 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5172,Suncity Jewel of India,"₹ 4.95 Cr
₹ 10,000/sq.ft.","5 BHK
5 Baths","4,950 sq.ft.
(460 sq.m.) Super built-up Area",5 BHK Residential Apartment in J.L.N.Marg
5173,Anant Villa,"₹ 38 Lac
₹ 6,209/sq.ft.","3 BHK
3 Baths","612 sq.ft.
(57 sq.m.) Plot Area","3 Bedroom Independent House in Vaishali Nagar, Jaipur"
5174,nul,"₹ 46 Lac
₹ 3,538/sq.ft.","3 BHK
3 Baths","1,299 sq.ft.
(121 sq.m.) Built-up Area",3 Bedroom Independent House in Sirsi Road
5175,Nirman Shyam villa,"₹ 1.05 Cr
₹ 8,772/sq.ft.","4 BHK
4 Baths","1,197 sq.ft.
(111 sq.m.) Plot Area",4 Bedroom Independent House in Mansarovar
5176,,"₹ 1.4 Cr
₹ 5,600/sq.ft.","3 BHK
3 Baths","2,500 sq.ft.
(232 sq.m.) Plot Area",3 Bedroom Independent House in Sector-1 Vidhyadhar Nagar
5177,Nirman Gyan Residency,"₹ 26 Lac
₹ 2,600/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Chitrakoot
5178,nirman laxmi villas,"₹ 65 Lac
₹ 8,497/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar Extension
5179,Nirman Priya Residency,"₹ 25 Lac
₹ 2,500/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Chitrakoot
5180,Nirman Royal Residency,"₹ 38 Lac
₹ 2,923/sq.ft.","3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Chitrakoot
5181,Vardhman Swapnlok,"₹ 12 Lac
₹ 2,696/sq.ft.","1 BHK
1 Bath","445 sq.ft.
(41 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jhotwara
5182,Manglams Grand City,"₹ 29.88 Lac
₹ 18,000/sq.ft.",,"166 sq.ft.
(15 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
5183,Manglam Aadhar Vaishali Estate,"₹ 18.9 Lac
₹ 4,200/sq.ft.","2 BHK
2 Baths","450 sq.ft.
(42 sq.m.) Carpet Area",2 BHK Residential Apartment in Vaishali Nagar
5184,Elegant Param,"₹ 32 Lac
₹ 5,925/sq.ft.","2 BHK
2 Baths","540 sq.ft.
(50 sq.m.) Carpet Area",2 BHK Residential Apartment in Gandhi Path
5185,Elegant Vaishali Utsav,"₹ 19 Lac
₹ 3,079/sq.ft.","2 BHK
2 Baths","617 sq.ft.
(57 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
5186,JDA Flats,"₹ 28.51 Lac
₹ 2,715/sq.ft.","3 BHK
3 Baths","1,050 sq.ft.
(98 sq.m.) Carpet Area",3 BHK Residential Apartment in Kalwara
5187,,"₹ 42 Lac
₹ 9,333/sq.ft.","3 BHK
3 Baths","450 sq.ft.
(42 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path
5188,,"₹ 18 Lac
₹ 2,000/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in Mahapura
5189,Vardhman The Horizon,"₹ 26 Lac
₹ 2,885/sq.ft.","2 BHK
2 Baths","901 sq.ft.
(84 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jhotwara
5190,Elegant Vaishali Utsav,"₹ 19 Lac
₹ 3,075/sq.ft.","2 BHK
2 Baths","617 sq.ft.
(57 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
5191,,"₹ 1.4 Cr
₹ 11,966/sq.ft.","4 BHK
2 Baths","1,170 sq.ft.
(109 sq.m.) Plot Area",4 Bedroom Independent House in Ambabari
5192,Ashadeep Rainbow,"₹ 25.51 Lac
₹ 3,188/sq.ft.","2 BHK
2 Baths","800 sq.ft.
(74 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5193,Ashiana Manglam Rangoli Gardens,"₹ 81 Lac
₹ 4,879/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5194,Ashiana Manglam Rangoli Gardens,"₹ 52 Lac
₹ 4,279/sq.ft.","2 BHK
2 Baths","1,215 sq.ft.
(113 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5195,Flats,"₹ 1.25 Cr
₹ 5,952/sq.ft.","3 BHK
3 Baths","2,100 sq.ft.
(195 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5196,Flats,"₹ 82 Lac
₹ 4,823/sq.ft.","3 BHK
3 Baths","1,700 sq.ft.
(158 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5197,Ashiana Manglam Rangoli Gardens,"₹ 52 Lac
₹ 4,279/sq.ft.","2 BHK
2 Baths","1,215 sq.ft.
(113 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5198,Flats,"₹ 1.25 Cr
₹ 5,952/sq.ft.","3 BHK
3 Baths","2,100 sq.ft.
(195 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5199,Flats,"₹ 82 Lac
₹ 4,823/sq.ft.","3 BHK
3 Baths","1,700 sq.ft.
(158 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5200,SDC Vintage,"₹ 1.15 Cr
₹ 5,822/sq.ft.","3 BHK
3 Baths","1,975 sq.ft.
(183 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5201,Singis Sapphire Moon,"₹ 41 Lac
₹ 4,969/sq.ft.","1 BHK
1 Bath","825 sq.ft.
(77 sq.m.) Carpet Area",1 BHK Residential Apartment in Bani Park
5202,SDC Vintage,"₹ 1.15 Cr
₹ 6,442/sq.ft.","3 BHK
3 Baths","1,785 sq.ft.
(166 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5203,Shivgyan Heights,"₹ 75 Lac
₹ 4,643/sq.ft.","3 BHK
3 Baths","1,615 sq.ft.
(150 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
5204,,"₹ 28.5 Lac
₹ 2,375/sq.ft.","3 BHK
2 Baths","1,200 sq.ft.
(111 sq.m.) Carpet Area",3 BHK Independent Builder Floor in Mansarovar Extension
5205,flat,"₹ 55 Lac
₹ 4,074/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in banipark
5206,Ashiana Manglam Rangoli Gardens,"₹ 1.57 Cr
₹ 6,480/sq.ft.","4 BHK
4 Baths","2,415 sq.ft.
(224 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5207,flat,"₹ 65 Lac
₹ 4,482/sq.ft.","3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Carpet Area",3 BHK Residential Apartment in Bani Park
5208,govind aptment,"₹ 62 Lac
₹ 3,875/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Carpet Area",3 BHK Independent Builder Floor in Vaishali Nagar
5209,Ashiana Manglam Rangoli Gardens,"₹ 78.9 Lac
₹ 4,753/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5210,Ashiana Manglam Rangoli Gardens,"₹ 57 Lac
₹ 4,710/sq.ft.","2 BHK
2 Baths","1,210 sq.ft.
(112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5211,Ashiana Manglam Rangoli Gardens,"₹ 54.99 Lac
₹ 4,544/sq.ft.","2 BHK
2 Baths","1,210 sq.ft.
(112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5212,Ashiana Manglam Rangoli Gardens,"₹ 80 Lac
₹ 4,819/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5213,Ashiana Manglam Rangoli Gardens,"₹ 87 Lac
₹ 5,240/sq.ft.","3 BHK
3 Baths","1,660 sq.ft.
(154 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5214,Ashiana Manglam Rangoli Gardens,"₹ 58 Lac
₹ 4,793/sq.ft.","2 BHK
2 Baths","1,210 sq.ft.
(112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5215,Ashiana Manglam Rangoli Gardens,"₹ 60 Lac
₹ 4,958/sq.ft.","2 BHK
2 Baths","1,210 sq.ft.
(112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5216,mansarovar extension,"₹ 70 Lac
₹ 82,352/sq.ft.",4 Baths,"85 sq.ft.
(8 sq.m.) Plot Area",Independent House in Mansarovar
5217,,"₹ 65 Lac
₹ 40,123/sq.ft.",,"162 sq.ft.
(15 sq.m.) Plot Area",Residential land / Plot in mahal yojna
5218,,"₹ 25 Lac
₹ 2,273/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
5219,,"₹ 68 Lac
₹ 6,403/sq.ft.","3 BHK
3 Baths","1,062 sq.ft.
(99 sq.m.) Plot Area",3 Bedroom Independent House in jagatpura 7 no.
5220,,"₹ 48.25 Lac
₹ 2,946/sq.ft.",,"1,638 sq.ft.
(152 sq.m.) Plot Area",Residential land / Plot in SKIT jagatpura
5221,,"₹ 28.11 Lac
₹ 1,121/sq.ft.",,"2,506 sq.ft.
(233 sq.m.) Plot Area",Residential land / Plot in shivdaspura ring road
5222,,"₹ 65 Lac
₹ 4,056/sq.ft.",,"1,719 sq.ft.
(160 sq.m.) Plot Area","Residential land / Plot in Vishveshvariya nagar, jagatpura"
5223,,"₹ 1.45 Cr
₹ 5,346/sq.ft.",,"2,712 sq.ft.
(252 sq.m.) Plot Area",Residential land / Plot in Jagatpura
5224,nilay kunj,"₹ 37.5 Lac
₹ 2,323/sq.ft.",,"1,614 sq.ft.
(150 sq.m.) Plot Area",Residential land / Plot in VIT near
5225,,"₹ 55 Lac
₹ 6,790/sq.ft.","3 BHK
3 Baths","810 sq.ft.
(75 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
5226,,"₹ 68 Lac
₹ 7,556/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
5227,Ashadeep Kendriya Vihar 2,"₹ 20 Lac
₹ 3,030/sq.ft.","1 BHK
1 Bath","660 sq.ft.
(61 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jagatpura
5228,skit,"₹ 47.5 Lac
₹ 2,778/sq.ft.",,"1,710 sq.ft.
(159 sq.m.) Plot Area",Residential land / Plot in shiv nagar a
5229,,"₹ 6.5 Cr
₹ 26,552/sq.ft.","5 BHK
5 Baths","2,448 sq.ft.
(227 sq.m.) Plot Area",5 Bedroom Independent House in Shyam Nagar
5230,Ashiana Manglam Rangoli Gardens,"₹ 57 Lac
₹ 4,691/sq.ft.","2 BHK
2 Baths","1,215 sq.ft.
(113 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5231,Ganesham Heights,"₹ 2.02 Cr
₹ 7,222/sq.ft.",,"2,799 sq.ft.
(260 sq.m.) Plot Area",Residential land / Plot in Mahesh Nagar
5232,Laxmi Nagar Society Mansarovar Extension,"₹ 75 Lac
₹ 78,947/sq.ft.","3 BHK
3 Baths","95 sq.ft.
(9 sq.m.) Plot Area",3 Bedroom Independent House in Mansarovar Extension
5233,Flat,"₹ 63 Lac
₹ 5,040/sq.ft.","2 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area",2 BHK Residential Apartment in Bani Park
5234,Trimurtys Gulmohar,"₹ 1.9 Cr
₹ 7,341/sq.ft.","3 BHK
4 Baths","2,588 sq.ft.
(240 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5235,Trimurtys Gulmohar,"₹ 2.37 Cr
₹ 7,300/sq.ft.","4 BHK
5 Baths","3,276 sq.ft.
(304 sq.m.) Super built-up Area",4 BHK Residential Apartment in Bani Park
5236,SDC Vintage,"₹ 1.47 Cr
₹ 5,326/sq.ft.","4 BHK
4 Baths","2,760 sq.ft.
(256 sq.m.) Super built-up Area",4 BHK Residential Apartment in Bani Park
5237,Sdc Degra Height,"₹ 1.05 Cr
₹ 5,750/sq.ft.","3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5238,nul,"₹ 1.07 Cr
₹ 5,350/sq.ft.","3 BHK
3 Baths","2,000 sq.ft.
(186 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5239,Flat,"₹ 1.25 Cr
₹ 5,200/sq.ft.","3 BHK
3 Baths","2,400 sq.ft.
(223 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5240,SDC Vintage,"₹ 1.25 Cr
₹ 6,024/sq.ft.","3 BHK
3 Baths","2,075 sq.ft.
(193 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bani Park
5241,Nirman Shree ji home,"₹ 65 Lac
₹ 4,062/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
5242,Nirman Jagdish villas,"₹ 1.35 Cr
₹ 10,000/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
5243,Nirman Swati Residency,"₹ 27 Lac
₹ 2,700/sq.ft.","2 BHK
2 Baths","1,000 sq.ft.
(93 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
5244,nirman vinayak residency,"₹ 60 Lac
₹ 3,750/sq.ft.","4 BHK
4 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5245,nirman shyam residency,"₹ 98 Lac
₹ 73,684/sq.ft.","3 BHK
3 Baths","133 sq.ft.
(12 sq.m.) Plot Area",3 Bedroom Independent House in vaishali nagar
5246,nirman shubh villas,"₹ 70 Lac
₹ 9,150/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
5247,nirman vinayak residency,"₹ 60 Lac
₹ 3,750/sq.ft.","4 BHK
4 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5248,nirman shyam residency,"₹ 98 Lac
₹ 73,684/sq.ft.","3 BHK
3 Baths","133 sq.ft.
(12 sq.m.) Plot Area",3 Bedroom Independent House in vaishali nagar
5249,nirman shubh villas,"₹ 70 Lac
₹ 9,150/sq.ft.","3 BHK
3 Baths","765 sq.ft.
(71 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
5250,,"₹ 55 Lac
₹ 3,992/sq.ft.",,"1,377 sq.ft.
(128 sq.m.) Plot Area",Residential land / Plot in Indira Gandhi Nagar
5251,Vardhmans Sampada,"₹ 26 Lac
₹ 3,291/sq.ft.","2 BHK
1 Bath","790 sq.ft.
(73 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
5252,Silver Mohan Heights,"₹ 85.02 Lac
₹ 6,000/sq.ft.","3 BHK
3 Baths","1,417 sq.ft.
(132 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Vaishali Nagar
5253,Nagrik Nagar,"₹ 1.2 Cr
₹ 6,667/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Tonk Road
5254,Sky Villas,"₹ 65 Lac
₹ 6,813/sq.ft.","4 BHK
3 Baths","954 sq.ft.
(89 sq.m.) Plot Area",4 Bedroom Independent House in Kanakpura
5255,Vardhman Swapnlok,"₹ 12 Lac
₹ 2,694/sq.ft.","1 BHK
1 Bath","445 sq.ft.
(41 sq.m.) Super built-up Area",1 BHK Residential Apartment in Jhotwara
5256,Kothari Villa,"₹ 1.51 Cr
₹ 13,752/sq.ft.","4 BHK
4 Baths","1,098 sq.ft.
(102 sq.m.) Plot Area",4 Bedroom Independent House in Nirman Nagar
5257,Shyam Nagar Apartments,"₹ 64.7 Lac
₹ 4,500/sq.ft.","3 BHK
2 Baths","1,437 sq.ft.
(134 sq.m.) Super built-up Area",3 BHK Residential Apartment in Shyam Nagar
5258,,"₹ 75.75 Lac
₹ 8,333/sq.ft.","3 BHK
4 Baths","909 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Jagatpura
5259,,"₹ 95 Lac
₹ 3,518/sq.ft.","3 BHK
4 Baths","2,700 sq.ft.
(251 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
5260,,"₹ 19 Lac
₹ 1,727/sq.ft.","3 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Built-up Area",3 Bedroom Independent House in Benad Road
5261,,"₹ 80 Lac
₹ 4,444/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Siddharth Nagar
5262,Ekdant Villas,"₹ 45 Lac
₹ 6,757/sq.ft.","3 BHK
3 Baths","666 sq.ft.
(62 sq.m.) Plot Area",3 Bedroom Independent House in Jagdamba Nagar
5263,,"₹ 72 Lac
₹ 3,007/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area",Residential land / Plot in Jagatpura
5264,Smarthome Rainbow Prime,"₹ 27 Lac
₹ 2,000/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
5265,Nirman Shree Shyam Residency,"₹ 64.98 Lac
₹ 3,938/sq.ft.","3 BHK
3 Baths","1,650 sq.ft.
(153 sq.m.) Super built-up Area",3 BHK Residential Apartment in Nirman Nagar
5266,nirman Shree Shyam Residency,"₹ 65 Lac
₹ 4,333/sq.ft.","3 BHK
3 Baths","1,500 sq.ft.
(139 sq.m.) Super built-up Area",3 BHK Residential Apartment in Nirman Nagar
5267,Nirman Shree Shyam Residency,"₹ 85 Lac
₹ 4,250/sq.ft.","4 BHK
4 Baths","2,000 sq.ft.
(186 sq.m.) Super built-up Area",4 BHK Residential Apartment in Nirman Nagar
5268,,"₹ 95 Lac
₹ 5,675/sq.ft.","3 BHK
3 Baths","1,674 sq.ft.
(156 sq.m.) Plot Area",3 Bedroom Independent House in J.L.N.Marg
5269,,"₹ 3.5 Cr
₹ 14,583/sq.ft.","5 BHK
5 Baths","2,400 sq.ft.
(223 sq.m.) Plot Area",5 Bedroom Independent House in Vaishali Nagar
5270,Skyline Jaipur Prime 1,"₹ 39 Lac
₹ 2,666/sq.ft.","4 BHK
3 Baths","1,463 sq.ft.
(136 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
5271,CCD Residency,"₹ 36 Lac
₹ 2,879/sq.ft.","3 BHK
3 Baths","1,250 sq.ft.
(116 sq.m.) Super built-up Area","3 BHK Residential Apartment in Vaishali Nagar, Jaipur"
